name,md5,abSize
audio/sound_beta_2/voice/char_120_hibisc.ab,f738cd42f52ba1bd13bbb4df76a5f792,2541566
audio/sound_beta_2/voice/char_121_lava.ab,2f51fd9743b682caaf9115fd37c34434,1800831
audio/sound_beta_2/voice/char_122_beagle.ab,5dd4d3f56bba79f16a788fb0bf6ffa63,2474160
audio/sound_beta_2/voice/char_123_fang.ab,9912b6f44191b2304d223196db3468e5,1648834
audio/sound_beta_2/voice/char_124_kroos.ab,680835570c1ef307df1de5281f5b3fea,2327017
audio/sound_beta_2/voice/char_126_shotst.ab,281d737562272129f2f92e1118ddf2e0,1435452
audio/sound_beta_2/voice/char_127_estell.ab,9253cdb570be61d81fc932fd7b58e7cc,2398052
audio/sound_beta_2/voice/char_128_plosis.ab,da192b03674b621dced481c0ca1d9fe1,1864969
audio/sound_beta_2/voice/char_129_bluep.ab,c302648f572876b012683d7abfd26e4c,2289152
audio/sound_beta_2/voice/char_130_doberm.ab,3697bb16ac3995ea46ebee356c587772,1766728
audio/sound_beta_2/voice/char_131_flameb.ab,3b0b19aed26bb8130c7bd397ec0722b9,2766622
audio/sound_beta_2/voice/char_133_mm.ab,954f1594f5b978371e89679a8a0eae05,2297425
audio/sound_beta_2/voice/char_134_ifrit.ab,a0505d5fa772c55af552f2ae8565dd95,1925556
audio/sound_beta_2/voice/char_135_halo.ab,15d3a824f564c5d56fa440ca79f198b3,2222441
audio/sound_beta_2/voice/char_136_hsguma.ab,6a1c68d989b3fdc552b78a3dff24d1b7,1991264
audio/sound_beta_2/voice/char_137_brownb.ab,855ecbc3f91e72298ece810c4b37179c,1845791
audio/sound_beta_2/voice/char_140_whitew.ab,86f8057059d5db53a6a0733a0cdddd23,2247275
audio/sound_beta_2/voice/char_141_nights.ab,bb5eb814e21daa1978260cfa74c94cd4,1978639
audio/sound_beta_2/voice/char_143_ghost.ab,a4e054e8dc63480015bc15c63424dc75,2520896
audio/sound_beta_2/voice/char_144_red.ab,7aff7756b4230b6835a4ef5665468f74,1132601
audio/sound_beta_2/voice/char_145_prove.ab,3083359c8e8166da65ac7a3630a23e66,1905441
audio/sound_beta_2/voice/char_147_shining.ab,144121b68d87d2885b601c63f94a3ec1,1712688
audio/sound_beta_2/voice/char_148_nearl.ab,cb2f40b6abd437add9a7cc8c6c9cf330,1596661
audio/sound_beta_2/voice/char_149_scave.ab,704278ba7bcd63e45b6f9c61274132da,1609866
audio/sound_beta_2/voice/char_1502_crosly.ab,7befe771c3e9d7939a040474b8234957,2477143
audio/sound_beta_2/voice/char_150_snakek.ab,071f8244bcfa81cd6fc9d8367cf00c7e,1791445
audio/sound_beta_2/voice/char_151_myrtle.ab,c32d2e211286bd10531bf59e4ff31907,2436371
audio/sound_beta_2/voice/char_154_morgan.ab,fbd6db87240497655655a075ab210d90,2660159
audio/sound_beta_2/voice/char_155_tiger.ab,a8811a51c329e69f177988c02025f5b7,1656997
audio/sound_beta_2/voice/char_157_dagda.ab,f62dc9522cc8d3d4af32d99c8fcfacad,2052330
audio/sound_beta_2/voice/char_158_milu.ab,276f3eb9bc0c8a254d68a45903bb0989,1362088
audio/sound_beta_2/voice/char_159_peacok.ab,c353bd1116a2137a6df41670de0bea8b,2860751
audio/sound_beta_2/voice/char_163_hpsts.ab,8851599513e7cf7a2e60cde4f6aebc3b,1747188
audio/sound_beta_2/voice/char_164_nightm.ab,c2226bb994b1004b539b7b9032cf0eff,2730513
audio/sound_beta_2/voice/char_166_skfire.ab,adc2a3a430f5f4c8866dde8adf04b6ee,2329125
audio/sound_beta_2/voice/char_171_bldsk.ab,5defbd4a50668a9751e78a2279b5c306,2509088
audio/sound_beta_2/voice/char_172_svrash.ab,31e9d202a5f7d071e651e8551df3854d,2233107
audio/sound_beta_2/voice/char_173_slchan.ab,0e70fef291065b08fd6c41d6e9edd21f,1976121
audio/sound_beta_2/voice/char_174_slbell.ab,7689e2bf4e2cd4013037c1d609d2e643,2509804
audio/sound_beta_2/voice/char_179_cgbird.ab,ffb08a44f0c1d451c6bca3f1b6cc5f68,1947881
audio/sound_beta_2/voice/char_180_amgoat.ab,280818bddd49f6d134fb80c1882e6f0e,2539346
